handle,Time,newRating
_vagabond_07,1641833400,386
_vagabond_07,1642869300,615
_vagabond_07,1643301300,761
_vagabond_07,1643646900,838
_vagabond_07,1646930100,878
_vagabond_07,1647784200,962
_vagabond_07,1648398900,904
_vagabond_07,1650214200,812
_vagabond_07,1650386100,829
_vagabond_07,1650558900,869
_vagabond_07,1650645300,853
_vagabond_07,1651336500,751
_vagabond_07,1651509300,803
_vagabond_07,1651769400,781
_vagabond_07,1651854900,688
_vagabond_07,1652201100,687
_vagabond_07,1652459700,768
_vagabond_07,1652528100,679
_vagabond_07,1652978100,716
_vagabond_07,1653323700,741
_vagabond_07,1653508200,800
_vagabond_07,1655397300,832
_vagabond_07,1656175800,875
_vagabond_07,1656435000,871
_vagabond_07,1656952500,941
_vagabond_07,1657298100,1063
_vagabond_07,1657471800,990
_vagabond_07,1657644600,1038
_vagabond_07,1658162100,952
_vagabond_07,1659803700,897
_vagabond_07,1660667700,965
_vagabond_07,1663605300,1039
_vagabond_07,1663941900,1050
_vagabond_07,1664123700,1038
_vagabond_07,1664557500,1064
_vagabond_07,1665507000,1009
_vagabond_07,1665680400,971
_vagabond_07,1665852600,868
_vagabond_07,1665939000,921
_vagabond_07,1667579700,984
_vagabond_07,1668270900,978
_vagabond_07,1668790200,1013
_vagabond_07,1669397700,978
_vagabond_07,1671123900,990
_vagabond_07,1671208500,889
_vagabond_07,1672158900,943
_vagabond_07,1672419900,968
_vagabond_07,1672765500,936
_vagabond_07,1672936500,1012
_vagabond_07,1673195700,1143
_vagabond_07,1673795100,1074
_vagabond_07,1674838200,1137
_vagabond_07,1675269300,1130
_vagabond_07,1675443600,1174
_vagabond_07,1675960500,1154
_vagabond_07,1676198100,1111
_vagabond_07,1676565300,1156
_vagabond_07,1677602100,1116
_vagabond_07,1677775800,1181
_vagabond_07,1678365300,1231
_vagabond_07,1678638900,1240
_vagabond_07,1679149200,1197
_vagabond_07,1679245800,1176
_vagabond_07,1679589300,1140
_vagabond_07,1679848500,1240
_vagabond_07,1680087900,1122
_vagabond_07,1680280500,1060
_vagabond_07,1680453300,1042
_vagabond_07,1680627000,1009
_vagabond_07,1680969900,977
_vagabond_07,1681059600,971
_vagabond_07,1682355000,1014
_vagabond_07,1682613300,1014
_vagabond_07,1682787000,1115
_vagabond_07,1683391800,1161
_vagabond_07,1683909300,1163
_vagabond_07,1684082100,1182
_vagabond_07,1684515000,1248
_vagabond_07,1685032500,1232
_vagabond_07,1685293500,1226
_vagabond_07,1685897100,1222
_vagabond_07,1686070200,1175
_vagabond_07,1686587700,1149
_vagabond_07,1687082700,1185
_vagabond_07,1687106100,1092
_vagabond_07,1687279800,1114
_vagabond_07,1687626300,1195
_vagabond_07,1688056500,1234
_vagabond_07,1688748600,1152
_vagabond_07,1689525300,1039
_vagabond_07,1689957300,1130
_vagabond_07,1690303800,1170
_vagabond_07,1690475700,1234
_vagabond_07,1692117300,1236
_vagabond_07,1692290100,1285
UniversalAdmin,1618072500,365
UniversalAdmin,1619976900,699
UniversalAdmin,1621159200,900
UniversalAdmin,1621875000,983
UniversalAdmin,1622219700,1062
UniversalAdmin,1622393400,1114
UniversalAdmin,1622824500,1132
UniversalAdmin,1622997300,1103
UniversalAdmin,1623343800,1096
UniversalAdmin,1623609300,1038
UniversalAdmin,1624034100,1110
UniversalAdmin,1624643400,1159
UniversalAdmin,1625324700,1122
UniversalAdmin,1625676600,1110
UniversalAdmin,1625935800,1182
UniversalAdmin,1626021300,1180
UniversalAdmin,1626280500,1220
UniversalAdmin,1626543300,1219
UniversalAdmin,1626973500,1231
UniversalAdmin,1627058100,1218
UniversalAdmin,1627233600,1168
UniversalAdmin,1627662900,1051
UniversalAdmin,1627837200,1058
UniversalAdmin,1628526900,1151
UniversalAdmin,1629046200,1115
UniversalAdmin,1629305400,1238
UniversalAdmin,1629824700,1327
UniversalAdmin,1629996600,1324
UniversalAdmin,1630256700,1359
UniversalAdmin,1630859700,1336
UniversalAdmin,1631118900,1306
UniversalAdmin,1631466300,1297
UniversalAdmin,1632155700,1280
UniversalAdmin,1632847800,1287
UniversalAdmin,1633278900,1360
UniversalAdmin,1633713600,1336
UniversalAdmin,1633863900,1321
UniversalAdmin,1634143800,1399
UniversalAdmin,1635150900,1424
UniversalAdmin,1635525300,1351
UniversalAdmin,1635611700,1275
UniversalAdmin,1635870900,1308
UniversalAdmin,1636734900,1290
UniversalAdmin,1636878000,1285
UniversalAdmin,1637688900,1308
UniversalAdmin,1637859000,1410
UniversalAdmin,1638119100,1388
UniversalAdmin,1639224300,1390
UniversalAdmin,1639329300,1276
UniversalAdmin,1639500600,1351
UniversalAdmin,1639668900,1392
UniversalAdmin,1640019000,1483
UniversalAdmin,1640365500,1481
UniversalAdmin,1640622900,1454
UniversalAdmin,1640705700,1461
UniversalAdmin,1640799300,1448
UniversalAdmin,1641228600,1475
UniversalAdmin,1641833400,1530
UniversalAdmin,1642264500,1493
UniversalAdmin,1642869300,1455
UniversalAdmin,1643301300,1431
UniversalAdmin,1643560500,1628
UniversalAdmin,1644167100,1513
UniversalAdmin,1644685500,1488
UniversalAdmin,1644856500,1559
UniversalAdmin,1645374900,1540
UniversalAdmin,1645547700,1455
UniversalAdmin,1646568600,1376
UniversalAdmin,1646758200,1409
UniversalAdmin,1646930100,1482
UniversalAdmin,1647016500,1448
UniversalAdmin,1647784200,1475
UniversalAdmin,1647967500,1536
UniversalAdmin,1648139700,1507
UniversalAdmin,1648398900,1607
UniversalAdmin,1649522100,1531
UniversalAdmin,1650214200,1553
UniversalAdmin,1650386100,1552
UniversalAdmin,1650645300,1575
UniversalAdmin,1650733500,1510
UniversalAdmin,1651336500,1483
UniversalAdmin,1651509300,1557
UniversalAdmin,1651769400,1659
UniversalAdmin,1652459700,1658
UniversalAdmin,1652528100,1688
UniversalAdmin,1652978100,1752
UniversalAdmin,1653323700,1749
UniversalAdmin,1653508200,1741
UniversalAdmin,1654274100,1616
UniversalAdmin,1655051700,1545
UniversalAdmin,1655397300,1574
UniversalAdmin,1655570100,1583
UniversalAdmin,1655636700,1601
UniversalAdmin,1656175800,1653
UniversalAdmin,1656435000,1645
UniversalAdmin,1656952500,1591
UniversalAdmin,1657298100,1612
